dataset,model,weights,n_features_model,feature selection,selected_features,common_elements_random_choice,classifier_for_comparison,accuracy,f1,precision,recall,roc_auc
brain_tumor,mobilenet_v3_small,finetuned,576,random features,279,133,RandomForestClassifier,0.812182741116751,0.783727202208445,0.85672750924881,0.813895417156287,0.969512314826243
brain_tumor,mobilenet_v3_small,finetuned,576,random features,279,134,RandomForestClassifier,0.807106598984772,0.780057717677358,0.859408962768543,0.808017038777908,0.977163696694451
brain_tumor,mobilenet_v3_small,finetuned,576,random features,279,132,RandomForestClassifier,0.809644670050762,0.783671682281216,0.867210630175983,0.810517038777908,0.979505810326143
brain_tumor,mobilenet_v3_small,finetuned,576,random features,279,136,RandomForestClassifier,0.822335025380711,0.799554709562518,0.859698829491695,0.823895417156287,0.976409743960783
brain_tumor,mobilenet_v3_small,finetuned,576,random features,279,147,RandomForestClassifier,0.799492385786802,0.770029445019299,0.855780370738166,0.795799059929495,0.974077034980076
brain_tumor,mobilenet_v3_small,finetuned,576,random features,279,120,RandomForestClassifier,0.809644670050762,0.777533245441528,0.843256922186363,0.811395417156287,0.975030140455441
brain_tumor,mobilenet_v3_small,finetuned,576,random features,279,133,RandomForestClassifier,0.819796954314721,0.79999367476297,0.867514642220525,0.821395417156287,0.975796744171968
brain_tumor,maxvit_t,finetuned,512,all features,,,RandomForestClassifier,0.791878172588833,0.772421822894084,0.822656039817057,0.775123384253819,0.972204966929174
brain_tumor,maxvit_t,finetuned,512,brkga features,240,,RandomForestClassifier,0.781725888324873,0.760458554401524,0.822953138351057,0.766001762632197,0.976034240745714
brain_tumor,maxvit_t,finetuned,512,random features,240,118,RandomForestClassifier,0.812182741116751,0.797319394148117,0.842832950994382,0.799189189189189,0.973633533593657
brain_tumor,maxvit_t,finetuned,512,random features,240,119,RandomForestClassifier,0.804568527918782,0.788436302702534,0.836100368257809,0.788175675675676,0.976282599543034
brain_tumor,maxvit_t,finetuned,512,random features,240,120,RandomForestClassifier,0.814720812182741,0.801719410358385,0.845115074271044,0.800258519388954,0.976220811902635
brain_tumor,maxvit_t,finetuned,512,random features,240,124,RandomForestClassifier,0.796954314720812,0.777274246165295,0.822259347782493,0.779797297297297,0.973317183389711
brain_tumor,maxvit_t,finetuned,512,random features,240,113,RandomForestClassifier,0.791878172588833,0.769121178960446,0.817917219993068,0.768648648648649,0.972406388412082
brain_tumor,maxvit_t,finetuned,512,random features,240,123,RandomForestClassifier,0.779187817258883,0.758711628468808,0.813920727505653,0.759435957696827,0.969194587548884
brain_tumor,maxvit_t,finetuned,512,random features,240,116,RandomForestClassifier,0.799492385786802,0.77919481981982,0.825203962703963,0.779662162162162,0.967845194992089
brain_tumor,maxvit_t,finetuned,512,random features,240,122,RandomForestClassifier,0.781725888324873,0.760806046210998,0.80622130840591,0.766327849588719,0.973520514606703
