dataset,model,weights,n_features_model,feature selection,selected_features,common_elements_random_choice,classifier_for_comparison,accuracy,f1,precision,recall,roc_auc
beans,resnet34,imagenet,512,random features,324.0,204.0,RandomForestClassifier,0.84375,0.8410588451120679,0.8444602647260456,0.8442229605020303,0.9516236727249039
beans,resnet34,imagenet,512,random features,324.0,205.0,RandomForestClassifier,0.8515625,0.8500655722877944,0.8521303258145364,0.8517903285345145,0.95609243697479
beans,resnet34,imagenet,512,random features,324.0,208.0,RandomForestClassifier,0.8359375,0.8350736278447122,0.835945338176786,0.8361018826135105,0.9645175124313291
beans,resnet34,imagenet,512,random features,324.0,211.0,RandomForestClassifier,0.8359375,0.8350375573397573,0.8348484848484848,0.8362864525655223,0.9597241222070223
beans,resnet34,imagenet,512,random features,324.0,201.0,RandomForestClassifier,0.8203125,0.8186789024051117,0.8211469440150899,0.8205980066445182,0.9459801750157427
beans,mobilenet_v3_small,imagenet,576,all features,,,RandomForestClassifier,0.828125,0.8270853744478247,0.827078477078477,0.82890365448505,0.95531344320674
beans,mobilenet_v3_small,imagenet,576,brkga features,362.0,,RandomForestClassifier,0.8515625,0.8539772984217429,0.8589222430685846,0.8517903285345145,0.9580412785269146
beans,mobilenet_v3_small,imagenet,576,random features,362.0,225.0,RandomForestClassifier,0.84375,0.8443474432489316,0.8449219254097303,0.8442229605020303,0.9516508153649057
beans,mobilenet_v3_small,imagenet,576,random features,362.0,235.0,RandomForestClassifier,0.8125,0.8133206623284582,0.8140405213575944,0.813030638612034,0.94343690964758
beans,mobilenet_v3_small,imagenet,576,random features,362.0,217.0,RandomForestClassifier,0.8359375,0.8364532019704433,0.8365800865800866,0.8364710225175341,0.9570310294660499
beans,mobilenet_v3_small,imagenet,576,random features,362.0,230.0,RandomForestClassifier,0.8515625,0.8519591744743874,0.8520923520923521,0.8519748984865264,0.9554486135539487
beans,mobilenet_v3_small,imagenet,576,random features,362.0,228.0,RandomForestClassifier,0.8203125,0.8208199303366488,0.8218451749734889,0.8207825765965301,0.9434743664907823
beans,mobilenet_v3_small,imagenet,576,random features,362.0,212.0,RandomForestClassifier,0.8515625,0.8525065198493191,0.8528138528138527,0.85234403839055,0.9560408659587866
beans,mobilenet_v3_small,imagenet,576,random features,362.0,232.0,RandomForestClassifier,0.8515625,0.8511678926313072,0.8525316291273738,0.8521594684385382,0.9558568388595748
beans,mobilenet_v3_small,imagenet,576,random features,362.0,234.0,RandomForestClassifier,0.8515625,0.8526469514421322,0.8535811072396439,0.8521594684385382,0.9508891928864568
beans,mobilenet_v3_small,imagenet,576,random features,362.0,220.0,RandomForestClassifier,0.8515625,0.8534683152515598,0.8560041407867495,0.8519748984865264,0.9528076346817796
beans,mobilenet_v3_small,imagenet,576,random features,362.0,227.0,RandomForestClassifier,0.8984375,0.8981173864894795,0.8980388112549201,0.8988556662975267,0.9591486982389855
beans,maxvit_t,imagenet,512,all features,,,RandomForestClassifier,0.8203125,0.8213974176274993,0.8274561403508772,0.8205980066445182,0.9488361235967254
beans,maxvit_t,imagenet,512,brkga features,360.0,,RandomForestClassifier,0.8125,0.8139433551198257,0.8169797105967319,0.8128460686600222,0.9499245434607951
beans,maxvit_t,imagenet,512,random features,360.0,255.0,RandomForestClassifier,0.828125,0.8279220779220778,0.827887469350884,0.8285345145810261,0.9500000000000001
